sel104_0,150525,150736,152552,152781,154397,156018
sel104_1,150525,150736,152552,152781,154397,156018
sel100_0,150272,150471,150671,150872,151069,151268,151471,151687,151893,152081,152277,152476,152674,152862,153066,153281,153483,153669,153853,154056,154268,154459,154663,154875,155080,155260,155448,155646,155852,156048
sel100_1,150272,150471,150671,150872,151069,151268,151471,151687,151893,152081,152277,152476,152674,152862,153066,153281,153483,153669,153853,154056,154268,154459,154663,154875,155080,155260,155448,155646,155852,156048
sel114_0,150181,150410,150671,150913,151142,151377,151599,151827,152076,152307,152534,152773,153004,153220,153469,153705,153944,154180,154401,154630,154864,155117,155354,155587,155806,156044,156261,156497,156746,156973
sel114_1,150181,150410,150671,150913,151142,151377,151599,151827,152076,152307,152534,152773,153004,153220,153469,153705,153944,154180,154401,154630,154864,155117,155354,155587,155806,156044,156261,156497,156746,156973
sel116_0,150232,150415,150605,150789,150980,151360,151553,152069,152267,152472,152852,153048,153249,153641,153832,154024,154406,154594,154787,154975,155168,155364,155565,155765,155956,156157,156362,156560,156759,156952,157147,157340,157531,157719,157909,158091,158278,158472,158651,158841
sel116_1,150232,150415,150605,150789,150980,151360,151553,152069,152267,152472,152852,153048,153249,153641,153832,154024,154406,154594,154787,154975,155168,155364,155565,155765,155956,156157,156362,156560,156759,156952,157147,157340,157531,157719,157909,158091,158278,158472,158651,158841
sel117_0,150439,150736,151030,151315,151610,151904,152197,152486,152776,153065,153353,153650,153946,154237,154524,154819,155093,155394,155685,156005,156285,156589,156869,157176,157469,157766,158071,158360,158650,158940
sel117_1,150439,150736,151030,151315,151610,151904,152197,152486,152776,153065,153353,153650,153946,154237,154524,154819,155093,155394,155685,156005,156285,156589,156869,157176,157469,157766,158071,158360,158650,158940
sel123_0,150350,150688,151038,151351,151691,152021,152341,152669,152992,153307,153607,153940,154244,154567,154899,155195,155497,155815,156102,156384,156657,156897,157138,157387,157621,157883,158248,158604,158955,159288
sel123_1,150350,150688,151038,151351,151691,152021,152341,152669,152992,153307,153607,153940,154244,154567,154899,155195,155497,155815,156102,156384,156657,156897,157138,157387,157621,157883,158248,158604,158955,159288
